cell_id,run_accession,clinical_id,candidate_timepoint,timepoint_confidence,classification_basis,sample_accession,sample_alias,library_strategy
KTN302__KTN3022cell388,SRR5958654,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543760,KTN3022cell388,RNA-Seq
KTN302__KTN3022cell387,SRR5958655,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543759,KTN3022cell387,RNA-Seq
KTN302__KTN3022cell386,SRR5958656,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543758,KTN3022cell386,RNA-Seq
KTN302__KTN3022cell385,SRR5958657,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543757,KTN3022cell385,RNA-Seq
KTN302__KTN3022cell453,SRR5958658,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543825,KTN3022cell453,RNA-Seq
KTN302__KTN3022cell305,SRR5958659,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543677,KTN3022cell305,RNA-Seq
KTN302__KTN3022cell284,SRR5958660,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543656,KTN3022cell284,RNA-Seq
KTN302__KTN3022cell283,SRR5958661,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543655,KTN3022cell283,RNA-Seq
KTN302__KTN3022cell278,SRR5958662,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543650,KTN3022cell278,RNA-Seq
KTN302__KTN3022cell277,SRR5958663,KTN302,mid_candidate,medium,alias contains 2cell; compatible with 2 cycles,SAMN07543649,KTN3022cell277,RNA-Seq
KTN615__KTN6150cell200,SRR5960796,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545616,KTN6150cell200,RNA-Seq
KTN615__KTN6150cell199,SRR5960797,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545615,KTN6150cell199,RNA-Seq
KTN615__KTN6150cell237,SRR5960798,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545653,KTN6150cell237,RNA-Seq
KTN615__KTN6150cell238,SRR5960799,KTN615,pre_candidate,medium,alias contains 0cell; compatible with 0 cycles,SAMN07545654,KTN6150cell238,RNA-Seq
